Date,Adj Close,stock_demand,year,month,week,day,dayofweek,week_of_month,is_weekend
2010-11-12,9.3135,-0.2606320000000011,2010,11,45,12,4,2,0
2010-11-15,9.283567,-0.029932999999999765,2010,11,46,15,0,3,0
2010-11-16,9.118782,-0.16478500000000018,2010,11,46,16,1,3,0
2010-11-17,9.085823,-0.03295899999999996,2010,11,46,17,2,3,0
2010-11-18,9.325593,0.23977000000000004,2010,11,46,18,3,3,0
2010-11-19,9.274193,-0.051399999999999224,2010,11,46,19,4,3,0
2010-11-22,9.474659,0.20046600000000048,2010,11,47,22,0,4,0
2010-11-23,9.334664,-0.13999500000000076,2010,11,47,23,1,4,0
2010-11-24,9.518195,0.18353100000000033,2010,11,47,24,2,4,0
2010-11-26,9.524241,0.006045999999999552,2010,11,47,26,4,4,0
2010-11-29,9.580789,0.05654799999999938,2010,11,48,29,0,5,0
2010-11-30,9.407836,-0.1729529999999997,2010,11,48,30,1,5,0
2010-12-01,9.566577,0.1587410000000009,2010,12,48,1,2,1,0
2010-12-02,9.619488,0.05291099999999993,2010,12,48,2,3,1,0
2010-12-03,9.59802,-0.021468000000000487,2010,12,48,3,4,1,0
2010-12-06,9.679961,0.08194100000000049,2010,12,49,6,0,1,0
2010-12-07,9.6213,-0.05866100000000074,2010,12,49,7,1,1,0
2010-12-08,9.705963,0.08466300000000082,2010,12,49,8,2,2,0
2010-12-09,9.668166,-0.03779700000000119,2010,12,49,9,3,2,0
2010-12-10,9.692358,0.0241920000000011,2010,12,49,10,4,2,0
2010-12-13,9.725912,0.03355399999999875,2010,12,50,13,0,2,0
2010-12-14,9.68419,-0.04172200000000004,2010,12,50,14,1,2,0
2010-12-15,9.686311,0.0021210000000007057,2010,12,50,15,2,3,0
2010-12-16,9.71322,0.02690899999999985,2010,12,50,16,3,3,0
2010-12-17,9.693866,-0.01935399999999987,2010,12,50,17,4,3,0
2010-12-20,9.742242,0.04837599999999931,2010,12,51,20,0,3,0
2010-12-21,9.802411,0.06016900000000014,2010,12,51,21,1,3,0
2010-12-22,9.831439,0.029028000000000276,2010,12,51,22,2,4,0
2010-12-23,9.784273,-0.04716599999999893,2010,12,51,23,3,4,0
2010-12-27,9.816924,0.03265099999999954,2010,12,52,27,0,4,0
2010-12-28,9.840813,0.023889000000000493,2010,12,52,28,1,4,0
2010-12-29,9.835367,-0.00544600000000095,2010,12,52,29,2,5,0
2010-12-30,9.786085,-0.049281999999999826,2010,12,52,30,3,5,0
2010-12-31,9.752823,-0.03326200000000057,2010,12,52,31,4,5,0
2011-01-03,9.964777,0.21195400000000042,2011,1,1,3,0,1,0
2011-01-04,10.01678,0.05200300000000091,2011,1,1,4,1,1,0
2011-01-05,10.098722,0.08194199999999974,2011,1,1,5,2,1,0
2011-01-06,10.09056,-0.008162000000000447,2011,1,1,6,3,1,0
2011-01-07,10.162824,0.07226400000000055,2011,1,1,7,4,1,0
2011-01-10,10.354214,0.19139000000000017,2011,1,2,10,0,2,0
2011-01-11,10.329724,-0.024490000000000123,2011,1,2,11,1,2,0
2011-01-12,10.413778,0.08405400000000007,2011,1,2,12,2,2,0
2011-01-13,10.451876,0.03809799999999974,2011,1,2,13,3,2,0
2011-01-14,10.536536,0.08465999999999951,2011,1,2,14,4,2,0
2011-01-18,10.299789,-0.23674699999999937,2011,1,3,18,1,3,0
2011-01-19,10.245064,-0.054725000000001245,2011,1,3,19,2,3,0
2011-01-20,10.058811,-0.1862529999999989,2011,1,3,20,3,3,0
2011-01-21,9.878604,-0.18020700000000112,2011,1,3,21,4,3,0
2011-01-24,10.203035,0.3244310000000006,2011,1,4,24,0,4,0
2011-01-25,10.322467,0.11943199999999976,2011,1,4,25,1,4,0
2011-01-26,10.396544,0.07407700000000084,2011,1,4,26,2,4,0
2011-01-27,10.377192,-0.019351999999999592,2011,1,4,27,3,4,0
2011-01-28,10.162217,-0.2149750000000008,2011,1,4,28,4,4,0
